Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFB","Fertilizers by Product","008","Albania","5157","Agricultural Use","4021","NPK fertilizers","2009","2009","t","1650","A","Official figure"
"RFB","Fertilizers by Product","008","Albania","5157","Agricultural Use","4021","NPK fertilizers","2010","2010","t","1994","A","Official figure"
"RFB","Fertilizers by Product","008","Albania","5157","Agricultural Use","4021","NPK fertilizers","2011","2011","t","2468","A","Official figure"
"RFB","Fertilizers by Product","008","Albania","5157","Agricultural Use","4021","NPK fertilizers","2012","2012","t","3366","A","Official figure"
"RFB","Fertilizers by Product","008","Albania","5157","Agricultural Use","4021","NPK fertilizers","2013","2013","t","3520","A","Official figure"
"RFB","Fertilizers by Product","008","Albania","5157","Agricultural Use","4021","NPK fertilizers","2014","2014","t","3520","A","Official figure"
"RFB","Fertilizers by Product","008","Albania","5157","Agricultural Use","4021","NPK fertilizers","2015","2015","t","3560","I","Imputed value"
"RFB","Fertilizers by Product","008","Albania","5157","Agricultural Use","4021","NPK fertilizers","2016","2016","t","3600","A","Official figure"
"RFB","Fertilizers by Product","008","Albania","5157","Agricultural Use","4021","NPK fertilizers","2017","2017","t","2105","A","Official figure"
"RFB","Fertilizers by Product","008","Albania","5157","Agricultural Use","4021","NPK fertilizers","2018","2018","t","15039.1","A","Official figure"
"RFB","Fertilizers by Product","008","Albania","5157","Agricultural Use","4021","NPK fertilizers","2019","2019","t","25400","A","Official figure"
"RFB","Fertilizers by Product","012","Algeria","5157","Agricultural Use","4021","NPK fertilizers","2009","2009","t","40242","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5157","Agricultural Use","4021","NPK fertilizers","2010","2010","t","80960","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5157","Agricultural Use","4021","NPK fertilizers","2011","2011","t","48000","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5157","Agricultural Use","4021","NPK fertilizers","2012","2012","t","190069.1","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5157","Agricultural Use","4021","NPK fertilizers","2013","2013","t","203395.15","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5157","Agricultural Use","4021","NPK fertilizers","2014","2014","t","199893.27","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5157","Agricultural Use","4021","NPK fertilizers","2015","2015","t","178451.28","I","Imputed value"
"RFB","Fertilizers by Product","012","Algeria","5157","Agricultural Use","4021","NPK fertilizers","2016","2016","t","158115","I","Imputed value"
"RFB","Fertilizers by Product","024","Angola","5157","Agricultural Use","4021","NPK fertilizers","2009","2009","t","33418","I","Imputed value"
"RFB","Fertilizers by Product","024","Angola","5157","Agricultural Use","4021","NPK fertilizers","2010","2010","t","55821","I","Imputed value"
