Country,Item,Year,Yield (100 hg/ha),Pesticides (Tons),Rainfall (mm),NPK Fertilizers (Tons)
Albania,Potatoes,2009,219780,410.55,1485.0,1650.0
Albania,Potatoes,2010,231111,590.5,1485.0,1994.0
Albania,Potatoes,2011,242211,582.68,1485.0,2468.0
Albania,Potatoes,2012,250538,361.62,1485.0,3366.0
Albania,Potatoes,2013,260110,450.6,1485.0,3520.0
Albania,Potatoes,2014,250000,457.47,1485.0,3520.0
Albania,Potatoes,2015,242574,538.24,1485.0,3560.0
Albania,Potatoes,2016,245894,584.49,1485.0,3600.0
Albania,Potatoes,2017,251110,614.91,1485.0,2105.0
Albania,Potatoes,2018,261714,442.35,1485.0,15039.1
Albania,Potatoes,2019,256455,729.67,1485.0,25400.0
Algeria,Potatoes,2009,250764,3168.41,89.0,40242.0
Algeria,Potatoes,2010,270526,1869.58,89.0,80960.0
Algeria,Potatoes,2011,292806,7612.21,89.0,48000.0
Algeria,Potatoes,2012,304291,8980.17,89.0,190069.1
Algeria,Potatoes,2013,303218,8269.57,89.0,203395.15
Algeria,Potatoes,2014,299247,7151.52,89.0,199893.27
Algeria,Potatoes,2015,296099,4516.93,89.0,178451.28
Algeria,Potatoes,2016,304506,4153.38,89.0,158115.0
Angola,Potatoes,2009,86509,40.0,1010.0,33418.0
Angola,Potatoes,2010,87425,40.0,1010.0,55821.0
Angola,Potatoes,2011,81366,40.0,1010.0,26837.24
Argentina,Potatoes,2009,293326,140094.8,591.0,4718.0
Argentina,Potatoes,2010,296203,235739.1,591.0,62342.0
Argentina,Potatoes,2011,298649,220610.04,591.0,93900.0
Argentina,Potatoes,2014,310577,207706.0,591.0,63986.0
Argentina,Potatoes,2015,313425,203807.0,591.0,52648.17
Argentina,Potatoes,2016,321969,199908.0,591.0,81653.0
Argentina,Potatoes,2017,328586,196009.0,591.0,98814.0
Argentina,Potatoes,2018,334600,172928.0,591.0,84271.0
Argentina,Potatoes,2019,340313,204559.0,591.0,78655.0
Armenia,Potatoes,2009,185496,198.36,562.0,235.0
Armenia,Potatoes,2010,170146,278.72,562.0,191.0
Armenia,Potatoes,2011,194426,320.67,562.0,403.0
Armenia,Potatoes,2018,188129,614.32,562.0,222.5
Armenia,Potatoes,2019,200694,527.33,562.0,87.0
Australia,Potatoes,2009,361747,38065.69,534.0,41037.0
Australia,Potatoes,2010,351334,42169.39,534.0,1258690.0
Australia,Potatoes,2011,350887,47632.98,534.0,116990.0
Austria,Potatoes,2009,324947,3531.8,1110.0,65000.0
Austria,Potatoes,2010,305703,3692.4,1110.0,105000.0
Austria,Potatoes,2011,357127,3441.5,1110.0,95000.0
Austria,Potatoes,2016,361557,3662.0,1110.0,140989.88
Austria,Potatoes,2017,284198,4656.0,1110.0,147418.55
Austria,Potatoes,2018,293742,5295.0,1110.0,130908.07
Austria,Potatoes,2019,313417,4963.0,1110.0,125422.19
Azerbaijan,Potatoes,2009,149950,316.18,447.0,3714.0
Azerbaijan,Potatoes,2010,144945,333.85,447.0,7109.0
Azerbaijan,Potatoes,2011,143973,461.84,447.0,9021.0
Bahrain,Potatoes,2009,166667,12.59,83.0,261.0
Bahrain,Potatoes,2010,177579,9.84,83.0,238.0
Bahrain,Potatoes,2011,191087,9.14,83.0,500.0
Bangladesh,Potatoes,2009,133367,13755.78,2666.0,36929.0
Bangladesh,Potatoes,2010,182299,13250.83,2666.0,32709.0
Bangladesh,Potatoes,2011,180931,14798.28,2666.0,40762.0
Belarus,Potatoes,2009,186040,3874.87,618.0,281498.0
Belarus,Potatoes,2010,213518,3386.54,618.0,314654.0
Belarus,Potatoes,2011,209564,3078.92,618.0,342639.0
Belize,Potatoes,2009,134810,788.61,1705.0,1814.0
Belize,Potatoes,2010,91222,700.39,1705.0,2312.03
Belize,Potatoes,2011,110000,826.58,1705.0,3004.4
Benin,Potatoes,2009,80263,2259.94,1039.0,35218.0
Benin,Potatoes,2010,84231,2092.91,1039.0,128.0
Benin,Potatoes,2011,86289,2080.63,1039.0,20395.0
Bhutan,Potatoes,2010,117374,6.56,2200.0,838.0
Bhutan,Potatoes,2011,82519,9.07,2200.0,1147.0
Bhutan,Potatoes,2012,84679,7.44,2200.0,703.97
Bhutan,Potatoes,2013,106007,5.4,2200.0,1222.97
Bhutan,Potatoes,2014,88962,3.38,2200.0,1429.75
Bhutan,Potatoes,2015,99302,10.81,2200.0,1510.6
Bhutan,Potatoes,2016,99252,25.62,2200.0,1423.31
Bhutan,Potatoes,2017,110216,27.64,2200.0,1379.16
Bhutan,Potatoes,2018,98257,37.58,2200.0,1406.51
Bhutan,Potatoes,2019,104033,34.53,2200.0,1433.85
Bosnia and Herzegovina,Potatoes,2009,112701,2119.77,1028.0,28909.0
Bosnia and Herzegovina,Potatoes,2010,104566,2135.13,1028.0,63786.3
Bosnia and Herzegovina,Potatoes,2011,111158,2277.28,1028.0,59086.25
Brazil,Potatoes,2013,277517,472977.15,1761.0,0.0
Bulgaria,Potatoes,2009,165508,1717.25,608.0,18264.0
